[33m2024/01/20 16:42:26 468012	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m[33m2024/01/20 16:42:26 468836	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m/tmp/tbots/thunderscope-profile/2024-01-20 16-42-25

name           id     tid              ttot      scnt        
Thread         67     139708969444928  0.000024  1         
Thread         93     139708751234624  0.000023  1         
Thread         97     139708717663808  0.000023  1         
Thread         25     139711234426432  0.000022  1         
Thread         49     139709598635584  0.000021  1         
Thread         27     139711217641024  0.000021  1         
Thread         31     139710705948224  0.000020  1         
Thread         100    139708692485696  0.000019  1         
Thread         72     139708927481408  0.000018  1         
Thread         50     139709112120896  0.000018  1         
Thread         90     139708776412736  0.000018  1         
Thread         78     139708877125184  0.000017  1         
Thread         76     139708893910592  0.000017  1         
Thread         52     139709095335488  0.000017  1         
Thread         94     139708742841920  0.000017  1         
Thread         26     139711226033728  0.000016  1         
Thread         92     139708759627328  0.000016  1         
Thread         88     139708793198144  0.000015  1         
Thread         70     139708944266816  0.000015  1         
Thread         98     139708709271104  0.000015  1         
Thread         35     139710672377408  0.000015  1         
Thread         68     139708961052224  0.000014  1         
Thread         66     139708977837632  0.000014  1         
Thread         96     139708726056512  0.000013  1         
Found target //software/thunderscope:thunderscope_main with confidence 90
bazel run //software/thunderscope:thunderscope_main --copt=-O3 --
[33m2024/01/20 16:42:50 960550	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m[33m2024/01/20 16:42:50 962353	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m/tmp/tbots/thunderscope-profile/2024-01-20 16-42-49

name           id     tid              ttot      scnt        
_MainThread    0      140205430084032  3.599646  3169      
Thread         1      140201447892544  2.241570  2705      
Thread         2      140201439499840  2.143130  2684      
Thread         12     140201003308608  2.035639  221       
Thread         11     140201011701312  2.035396  365       
Thread         14     140200986523200  2.035304  106       
Thread         13     140200994915904  2.034881  166       
Thread         37     140198620927552  2.034253  221       
Thread         36     140198629320256  2.034164  364       
Thread         23     140199761778240  2.034047  159       
Thread         20     140199786956352  2.033763  106       
Thread         19     140199795349056  2.033730  196       
Thread         38     140198134412864  2.033326  174       
Thread         39     140198126020160  2.033325  106       
Thread         45     140197597541952  2.033169  106       
Thread         44     140198084056640  2.032926  192       
Thread         8      140201112348224  2.031314  204       
Thread         7      140201120740928  2.031132  326       
Thread         48     140197572363840  2.030736  155       
Thread         82     140196867638848  2.029458  204       
Thread         58     140197144532544  2.029339  204       
Thread         18     140199803741760  2.028514  120       
Thread         17     140199812134464  2.028368  211       
Thread         103    140196682999360  2.028353  122       
Thread         33     140198654498368  2.027049  196       
Thread         32     140198662891072  2.026993  336       
Thread         21     140199778563648  2.026416  234       
Thread         22     140199770170944  2.026377  228       
Thread         43     140198092449344  2.024504  120       
Thread         42     140198100842048  2.024283  203       
Thread         57     140197152925248  2.023240  235       
Thread         46     140197589149248  2.022933  231       
Thread         47     140197580756544  2.022769  227       
